,f,imp,feature_name
230,f206,1.0,location_451
231,f379,2.0,location_891
232,f469,6.0,location_1067
233,f364,38.0,location_856
234,f372,18.0,location_881
235,f375,25.0,location_885
236,f78,36.0,location_89
237,f79,25.0,location_91
238,f73,9.0,location_17
239,f70,7.0,location_12
240,f71,15.0,location_13
241,f95,1.0,location_130
242,f119,7.0,location_181
243,f3,,severity_type_3
244,f13,,event_type_19
245,f24,,event_type_3
246,f29,,event_type_36
247,f30,,event_type_38
248,f31,,event_type_39
249,f39,,event_type_49
250,f42,,event_type_53
251,f46,,event_type_8
252,f47,,event_type_9
253,f53,,resource_type_5
254,f66,,location_2
255,f68,,location_8
256,f72,,location_16
257,f74,,location_32
258,f75,,location_73
259,f76,,location_74
260,f77,,location_79
261,f81,,location_97
262,f82,,location_100
263,f84,,location_106
264,f85,,location_108
265,f86,,location_112
266,f87,,location_114
267,f88,,location_116
268,f91,,location_122
269,f92,,location_124
270,f98,,location_137
271,f99,,location_139
272,f102,,location_147
273,f104,,location_151
274,f105,,location_152
275,f110,,location_163
276,f111,,location_166
277,f112,,location_169
278,f113,,location_171
279,f114,,location_172
280,f115,,location_173
281,f116,,location_175
282,f117,,location_177
283,f118,,location_179
284,f120,,location_193
285,f121,,location_197
286,f122,,location_206
287,f123,,location_208
288,f124,,location_210
289,f127,,location_229
290,f128,,location_234
291,f130,,location_238
292,f131,,location_239
293,f134,,location_243
294,f136,,location_246
295,f137,,location_249
296,f138,,location_251
297,f140,,location_253
298,f142,,location_257
299,f143,,location_266
300,f144,,location_268
301,f146,,location_272
302,f148,,location_278
303,f149,,location_280
304,f150,,location_282
305,f152,,location_284
306,f153,,location_288
307,f154,,location_290
308,f156,,location_294
309,f157,,location_296
310,f160,,location_309
311,f164,,location_318
312,f165,,location_322
313,f166,,location_324
314,f167,,location_325
315,f169,,location_328
316,f170,,location_332
317,f171,,location_342
318,f173,,location_350
319,f174,,location_353
320,f175,,location_356
321,f176,,location_363
322,f177,,location_365
323,f178,,location_367
324,f180,,location_371
325,f183,,location_376
326,f186,,location_382
327,f187,,location_384
328,f188,,location_390
329,f190,,location_408
330,f191,,location_409
331,f192,,location_414
332,f193,,location_415
333,f194,,location_416
334,f195,,location_418
335,f196,,location_430
336,f197,,location_441
337,f198,,location_442
338,f199,,location_443
339,f200,,location_444
340,f202,,location_446
341,f203,,location_447
342,f204,,location_448
343,f207,,location_455
344,f208,,location_457
345,f211,,location_462
346,f212,,location_463
347,f214,,location_466
348,f216,,location_468
349,f217,,location_469
350,f218,,location_470
351,f219,,location_471
352,f220,,location_472
353,f221,,location_473
354,f223,,location_475
355,f224,,location_476
356,f225,,location_477
357,f226,,location_478
358,f227,,location_479
359,f230,,location_484
360,f231,,location_485
361,f233,,location_489
362,f234,,location_490
363,f235,,location_491
364,f237,,location_494
365,f239,,location_496
366,f240,,location_497
367,f241,,location_498
368,f242,,location_499
369,f243,,location_500
370,f244,,location_501
371,f246,,location_505
372,f247,,location_506
373,f249,,location_508
374,f251,,location_518
375,f254,,location_521
376,f255,,location_522
377,f256,,location_526
378,f257,,location_527
379,f258,,location_532
380,f259,,location_533
381,f260,,location_534
382,f261,,location_535
383,f262,,location_546
384,f266,,location_601
385,f268,,location_604
386,f270,,location_609
387,f276,,location_640
388,f280,,location_645
389,f282,,location_648
390,f283,,location_649
391,f284,,location_651
392,f285,,location_652
393,f288,,location_657
394,f289,,location_661
395,f290,,location_662
396,f291,,location_664
397,f293,,location_690
398,f295,,location_692
399,f296,,location_695
400,f298,,location_699
401,f299,,location_700
402,f300,,location_702
403,f302,,location_705
404,f303,,location_706
405,f305,,location_709
406,f306,,location_710
407,f307,,location_713
408,f309,,location_721
409,f310,,location_723
410,f311,,location_724
411,f312,,location_726
412,f314,,location_735
413,f320,,location_755
414,f322,,location_758
415,f325,,location_767
416,f326,,location_769
417,f327,,location_778
418,f328,,location_779
419,f329,,location_786
420,f330,,location_790
421,f333,,location_795
422,f338,,location_806
423,f340,,location_809
424,f345,,location_817
425,f351,,location_829
426,f357,,location_838
427,f361,,location_849
428,f362,,location_851
429,f363,,location_853
430,f365,,location_857
431,f366,,location_864
432,f367,,location_865
433,f368,,location_875
434,f369,,location_877
435,f370,,location_878
436,f371,,location_879
437,f373,,location_883
438,f374,,location_884
439,f376,,location_886
440,f377,,location_889
441,f378,,location_890
442,f386,,location_898
443,f389,,location_903
444,f392,,location_912
445,f393,,location_914
446,f394,,location_917
447,f395,,location_919
448,f397,,location_923
449,f398,,location_924
450,f402,,location_936
451,f404,,location_939
452,f405,,location_942
453,f408,,location_945
454,f409,,location_946
455,f411,,location_949
456,f412,,location_950
457,f413,,location_955
458,f415,,location_961
459,f417,,location_963
460,f418,,location_964
461,f419,,location_972
462,f420,,location_974
463,f422,,location_977
464,f423,,location_979
465,f426,,location_990
466,f427,,location_994
467,f430,,location_999
468,f431,,location_1006
469,f441,,location_1020
470,f442,,location_1021
471,f443,,location_1024
472,f444,,location_1025
473,f449,,location_1034
474,f450,,location_1035
475,f451,,location_1037
476,f454,,location_1044
477,f455,,location_1046
478,f459,,location_1051
479,f461,,location_1053
480,f462,,location_1054
481,f463,,location_1055
482,f465,,location_1058
483,f468,,location_1066
484,f470,,location_1072
485,f472,,location_1076
486,f473,,location_1078
487,f474,,location_1079
488,f475,,location_1080
489,f476,,location_1083
490,f479,,location_1088
491,f480,,location_1089
492,f481,,location_1090
493,f482,,location_1091
494,f483,,location_1093
495,f484,,location_1094
496,f485,,location_1095
497,f489,,location_1104
498,f492,,location_1109
499,f495,,location_1113
500,f496,,location_1115
